"match","R1","R2","R3","B1","B2","B3"
1,8069,6665,11214,2491,4450,10991
2,9572,2582,11242,5895,2813,7915
3,2635,16,6487,7769,449,6429
4,1756,3931,1816,8858,6528,7183
5,2556,364,2468,4607,8119,4125
6,2393,3501,4655,3937,6985,10034
7,5705,3753,3082,5913,484,4020
8,5577,1506,51,1391,5181,1023
9,1533,10980,9496,3243,2231,11417
10,614,2590,4469,7415,6201,5653
11,8229,111,2054,11244,1768,6911
12,1403,1690,4766,4087,3544,7840
13,2491,8159,8119,931,4322,2813
14,8858,2556,9572,3501,6487,4450
15,1756,449,484,4607,8069,2582
16,364,1023,6985,6665,7183,1391
17,3082,9496,2468,5705,11214,16
18,3937,5653,3243,7915,2231,6429
19,3753,2054,11417,6528,614,51
20,4766,1768,2635,1816,6201,4655
21,8159,5895,1690,3931,7769,1506
22,4020,7415,2393,4125,1403,8229
23,1533,7840,11242,10034,2590,5913
24,111,5181,10991,10980,4469,4087
25,4322,6911,5577,931,11244,3544
26,6429,5653,1756,5705,3501,1023
27,2556,8069,3243,11417,16,614
28,3753,4450,6528,9496,6985,8119
29,2231,2054,4607,5895,3082,1816
30,4020,1403,2635,1391,364,1506
31,11242,51,2491,7769,1768,3937
32,6665,4469,1533,2393,7840,6487
33,6201,4125,10991,11244,9572,3931
34,449,7915,8858,5577,11214,4087
35,4322,5181,3544,4655,111,484
36,8229,931,1690,7183,2468,2590
37,2582,6911,8159,10980,7415,5913
38,6528,2813,4766,10034,1506,16
39,8119,8069,3937,5653,5895,1403
40,4020,1756,7769,6985,1533,2054
41,3243,3501,1768,6487,11244,1391
42,2231,4469,5577,9572,2491,2635
43,11214,1816,1023,2393,4087,364
44,7183,8229,7915,7840,6201,3753
45,2582,5913,614,2468,10991,3544
46,484,7415,51,6429,111,4450
47,3931,4655,2813,6665,3082,2556
48,6911,10034,5181,1690,11417,449
49,8159,4322,8858,4766,9496,2590
50,11242,10980,4607,4125,5705,931
51,16,3937,5895,1816,6985,4020
52,6528,1403,1768,11214,9572,7769
53,2054,7183,3501,4469,3544,8069
54,2468,484,7840,51,2231,6201
55,2813,1023,11244,1533,7915,4450
56,6487,2491,7415,11417,10034,8119
57,10991,8159,3243,3082,5577,364
58,1391,614,9496,6911,4607,1756
59,449,5913,931,2556,4766,2393
60,2590,4655,5653,10980,3753,1506
61,5181,2635,5705,2582,8229,6665
62,11242,6429,4125,111,1690,8858
63,4322,4087,7915,3931,2468,8069
64,1768,5895,11417,3544,7183,1023
65,484,11244,10034,1403,1816,8159
66,2813,364,2231,7415,7769,3501
67,4450,7840,3243,449,6528,2491
68,3937,1391,3753,16,931,1533
69,9572,5705,2393,6911,51,2590
70,4655,2582,4469,4607,4020,8858
71,8119,10991,3082,1506,8229,11242
72,5913,6487,3931,111,2635,6985
73,5181,11214,6429,614,4766,4322
74,6201,10980,1690,5577,2556,1756
75,5653,9496,6665,4087,2054,4125
76,1816,3501,2468,1403,1533,449
77,11417,1391,7769,2590,7915,484
78,2231,931,6528,8069,4655,364
79,4469,4450,8159,8229,3937,5705
80,5895,2393,111,3243,2491,3753
81,8858,8119,614,5913,1023,9572
82,7840,5577,10034,1768,3931,4607
83,1756,1506,11244,6487,11242,4087
84,4125,6911,7183,4766,2582,3082
85,3544,6665,6201,6429,4020,10980
86,2635,11214,7415,2054,2556,5181
87,5653,51,6985,1690,9496,2813
88,16,2393,1403,10991,4322,2231
89,4450,1391,9572,2468,11417,8159
90,7769,4607,5577,3753,8069,111
91,931,1506,5895,3501,614,7840
92,4469,4766,6911,3931,3243,11242
93,4087,6429,7183,2491,4655,5913
94,2590,8119,4020,11214,449,11244
95,1023,6201,2582,9496,6487,3937
96,6528,5705,3544,2556,4125,2813
97,7415,1816,1533,1690,6665,10991
98,51,10034,8229,2635,5653,4322
99,364,484,16,2054,8858,10980
100,7915,1768,3082,6985,1756,5181
101,7183,11242,4450,5577,2393,614
102,9572,4087,4020,7769,3243,931
103,6201,11417,111,3501,2582,11214
104,3544,2231,3931,5705,8119,1391
105,11244,10991,9496,5895,6429,2556
106,6487,1816,8069,6911,2813,8229
107,364,2491,4766,484,1690,5653
108,1506,4125,449,1768,1533,4322
109,7840,2054,16,5181,8159,4655
110,2590,2635,10980,1023,3082,6528
111,1756,8858,6665,10034,3753,2468
112,6985,7915,5913,4469,51,1403
113,3937,4607,11214,7415,3243,7183
114,614,7769,5705,8119,11244,1816
115,484,4766,6487,10991,5577,5895
116,9496,3544,449,8229,9572,364
117,1391,3931,2582,2393,5653,2054
118,4087,2590,1690,4450,16,1768
119,8069,8858,2491,3082,1533,6201
120,4655,931,1403,51,1756,11417
121,3753,5913,4125,2813,3937,5181
122,10980,6985,7840,4322,11242,7415
123,1023,4020,2556,111,10034,2231
124,6429,2468,6911,1506,6528,4469
125,7915,4607,3501,8159,6665,2635
